### INSTRUCTION, BY LIANG-JUN ZHU
### TYPE  : DATA AGGREGATION TYPE, e.g., SUM, AVE, MAX, NONE, etc. Types divided by ',', e.g., "SUM,AVE".
### STARTTIME : DATA DERIVED TIME START, FORMAT MUST BE "YYYY-MM-DD HH:MM:SS", e.g., 2011-01-01 00:00:00
### ENDTIME  : DATA DERIVED TIME END, SEE STARTTIME
### SUBBASIN : SELECTED SUBBASIN ID(s). 'ALL', 'OUTLET' ARE SELECTABLE, OR SUBBASIN ID NUMBERS SPLIT BY ','.
### FILENAME : OUTPUT FILENAME WITH SUFFIX, e.g., txt, asc, tif. FINAL FILENAME WILL BE APPENDED BY TYPE!
### USE   ：OUTPUT OR NOT. DEFAULT IS 0, i.e., NOT USED. CHANGE TO 1 IF IT IS WANTED!

MODULE_CLASS	OUTPUTID	DESCRIPTION	UNIT	TYPE	STARTTIME	ENDTIME	INTERVAL	INTERVAL_UNIT	SUBBASIN	FILENAME	USE
Climate	D_P	Precipitation	mm	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	PREC.tif	0
Climate	D_TMAX	Max temperature	deg C	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	TMAX.tif	0
Climate	D_TMIN	Min temperature	deg C	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	TMIN.tif	0
Climate	D_TMEAN	Mean temperature	deg C	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	TMEAN.tif	0
Climate	D_SR	Solar radiation	MJ/m2/d	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	SR.tif	0
Climate	D_WS	Wind speed	m/s	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	WS.tif	0
Climate	D_RM	Relative humidity	%	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	RM.tif	0
SoilTemperature	SOTE	Soil temperature	deg C	AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	SOTE.tif	0
Interception	NEPR	Net Precipitation	mm	SUM	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	NEPR.tif	1
Interception	INET	Evaporation from the interception storage	mm	SUM	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	INET.tif	0
Interception	INLO	Interception loss	mm	SUM	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	INLO.tif	0
PET	PET	Potential Evapotranspiration	mm	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	PET.tif	0
PET	PPT	Potential Plant Evapotranspiration	mm	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	PPT.tif	0
PET	SOET	Actual Soil Evaporation	mm	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	SOET.tif	0
Snow melt	SNME	Snow melt	mm	SUM	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	SNME.tif	0
Snow melt	SNAC	Snow accumulation	mm	SUM	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	SNAC.tif	0
Infiltration	INFIL	Infiltration	mm	SUM	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	INFIL.tif	0
Surface Runoff	EXCP	Excess precipitation	mm	SUM	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	EXCP.tif	0
Surface Runoff	SOLST	Soil storage of each soil layer	mm/mm	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	SOLST.tif	1
Surface Runoff	SOLSW	Soil storage of soil profile	mm/mm	SUM	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	SOLSW.tif	0
Surface Runoff	SURU	Surface Runoff	mm	SUM	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	SURU.tif	0
Depression	DPST	Depression storage	mm	SUM	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	DPST.tif	0
Depression	DEET	Depression ET	mm	SUM	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	DEET.tif	0
Percolation	PERCO	Percolation	mm	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	PERCO.tif	1
Erosion	SOER	soil loss caused by water erosion	kg	SUM	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	SOER.tif	1
Erosion	USLE_LS	USLE LS factor	None	MAX	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	USLE_LS.tif	0
Erosion	SEDTOCH	Sediment to reach	kg	NONE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	SEDtoCH.txt	1
Erosion	SED_OL	sediment transported to channel at each cell	kg	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	SED_OL.tif	1
Plant growth	SOL_COV	Residue on soil surface	kg/ha	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	SOL_COV.tif	0
Plant growth	SOL_RSD	Organic matter in soil classified as residue	kg/ha	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	SOL_RSD.tif	0
Plant growth	ALBDAY	Albedo of current day	None	AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	ALBDAY.tif	0
Plant growth	LAIDAY	LAI of current day	m2/m2	AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	LAIDAY.tif	0
Plant growth	AET_PLT	Actural plant transpiration	mm	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	AET_PLT.tif	0
Plant growth	PLANT_N	Nitrogen in plant biomass	kg/ha	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	PLANT_N.tif	0
Plant growth	PLANT_P	Phosphorus in plant biomass	kg/ha	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	PLANT_P.tif	0
Plant growth	BIOMASS	Land cover/crop biomass (dry weight)	kg/ha	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	BIOMASS.tif	0
Nutrient	SOL_NO3	Nitrate concentration in soil layers	kg/ha	SUM,AVE	2014-01-01 00:00:00	2014-12-31 23:59:59	-9999	-9999	ALL	SOL_NO3.tif	0
